0.5305f, 0.6401f, 0.7685f,
0.6925f, 0.0140f, 0.2475f,
0.3253f, 0.7200f, 0.1013f,
0.7438f, 0.5270f, 0.4902f,
0.2709f, 0.1483f, 0.8160f,
0.4947f, 0.1273f, 0.9190f,
0.4429f, 0.8000f, 0.1859f,
0.1505f, 0.5471f, 0.6263f,
0.4646f, 0.9236f, 0.0621f,
0.3427f, 0.8901f, 0.5695f,
0.5875f, 0.1572f, 0.3374f,
0.4773f, 0.4393f, 0.5600f,
0.8508f, 0.9491f, 0.4000f,
0.2837f, 0.5994f, 0.0342f,
0.4757f, 0.8914f, 0.6857f,
0.5945f, 0.6720f, 0.7582f,
0.2211f, 0.2587f, 0.4363f,
0.4054f, 0.0438f, 0.4422f,
0.1743f, 0.3769f, 0.9392f,
0.0438f, 0.8789f, 0.8599f,
0.1415f, 0.9133f, 0.7695f,
0.7208f, 0.7670f, 0.1874f,
0.1940f, 0.9565f, 0.5453f,
0.7832f, 0.6769f, 0.2091f,
0.7022f, 0.2912f, 0.5874f,
0.5598f, 0.7848f, 0.7957f,
0.2561f, 0.9041f, 0.7087f,
0.3298f, 0.2816f, 0.1095f,
0.9689f, 0.8220f, 0.7312f,
0.9307f, 0.1939f, 0.2531f,
0.2484f, 0.8007f, 0.2507f,
0.7029f, 0.2176f, 0.0810f,
0.5288f, 0.7678f, 0.3846f,
0.5000f, 0.1152f, 0.5446f,
0.4243f, 0.6378f, 0.6496f,
0.9280f, 0.5632f, 0.2633f,
0.5640f, 0.1631f, 0.7926f,
0.8375f, 0.4332f, 0.2295f,
0.1692f, 0.9758f, 0.0833f,
0.3237f, 0.6928f, 0.8508f,
0.6880f, 0.2185f, 0.8434f,
0.7988f, 0.5555f, 0.4805f,
0.6631f, 0.4124f, 0.6565f,
0.9522f, 0.9854f, 0.9980f,
0.3065f, 0.5759f, 0.5359f,
0.0455f, 0.8826f, 0.0398f,
0.5581f, 0.8384f, 0.6737f,
0.0079f, 0.6794f, 0.9891f,
0.9617f, 0.1513f, 0.4761f,
0.0286f, 0.5438f, 0.8085f,
0.7850f, 0.5710f, 0.8534f,
0.3696f, 0.8797f, 0.7025f,
0.6741f, 0.9471f, 0.2432f,
0.3370f, 0.8428f, 0.5290f,
0.4976f, 0.7403f, 0.8803f,
0.0913f, 0.8985f, 0.8046f,
0.4609f, 0.1132f, 0.8144f,
0.7113f, 0.2646f, 0.9516f,
0.4340f, 0.9024f, 0.8046f,
0.6164f, 0.1012f, 0.8379f,
0.7462f, 0.6051f, 0.0642f,
0.9565f, 0.8858f, 0.2312f,
0.1967f, 0.2049f, 0.5195f,
0.2270f, 0.4326f, 0.8851f,
0.3746f, 0.4852f, 0.5788f,
0.3320f, 0.2756f, 0.4387f
