{0.0710f, 0.9740f, 0.3539f},
{0.1140f, 0.9934f, 0.3332f},
{0.7693f, 0.1634f, 0.8387f},
{0.3534f, 0.1080f, 0.3241f},
{0.5942f, 0.4349f, 0.0126f},
{0.1975f, 0.6066f, 0.8348f},
{0.9886f, 0.6968f, 0.1926f},
{0.6739f, 0.7207f, 0.1276f},
{0.2992f, 0.0065f, 0.8094f},
{0.2020f, 0.2009f, 0.1535f},
{0.1268f, 0.6308f, 0.4685f},
{0.6876f, 0.6353f, 0.3025f},
{0.2207f, 0.3062f, 0.9009f},
{0.9661f, 0.6031f, 0.1793f},
{0.8035f, 0.8235f, 0.8971f},
{0.9318f, 0.1018f, 0.5173f},
{0.4618f, 0.1842f, 0.3227f},
{0.3325f, 0.4307f, 0.3257f},
{0.3156f, 0.5118f, 0.5193f},
{0.1113f, 0.0788f, 0.4710f},
{0.8032f, 0.2406f, 0.2686f},
{0.0921f, 0.2453f, 0.9127f},
{0.8258f, 0.3478f, 0.0149f},
{0.8814f, 0.9437f, 0.8387f},
{0.0653f, 0.9271f, 0.7485f},
{0.6910f, 0.3329f, 0.7138f},
{0.8558f, 0.6657f, 0.6951f},
{0.4690f, 0.9421f, 0.4169f},
{0.7882f, 0.5498f, 0.6903f},
{0.8299f, 0.8481f, 0.8765f},
{0.7491f, 0.7002f, 0.2828f},
{0.1007f, 0.6435f, 0.7940f},
{0.9658f, 0.8211f, 0.9393f},
{0.3110f, 0.7473f, 0.1176f},
{0.7174f, 0.7123f, 0.2547f},
{0.0133f, 0.4267f, 0.5970f},
{0.4554f, 0.4611f, 0.1713f},
{0.4088f, 0.6631f, 0.1809f},
{0.0802f, 0.0077f, 0.8875f},
{0.2177f, 0.1443f, 0.0050f},
{0.1432f, 0.0856f, 0.9652f},
{0.1716f, 0.4940f, 0.0846f},
{0.2801f, 0.5948f, 0.0123f},
{0.1504f, 0.7288f, 0.6765f},
{0.8318f, 0.5993f, 0.8905f},
{0.8530f, 0.6866f, 0.2452f},
{0.7487f, 0.5274f, 0.4530f},
{0.3996f, 0.5042f, 0.7091f},
{0.6005f, 0.8473f, 0.1931f},
{0.2614f, 0.6375f, 0.9035f},
{0.9967f, 0.7936f, 0.7665f},
{0.9721f, 0.0019f, 0.7511f},
{0.3206f, 0.4151f, 0.2178f},
{0.6517f, 0.4382f, 0.8908f},
{0.8438f, 0.8919f, 0.6887f},
{0.6202f, 0.6231f, 0.8582f},
{0.0869f, 0.3559f, 0.5673f},
{0.9832f, 0.4738f, 0.6782f},
{0.6591f, 0.8483f, 0.5591f},
