0.0101f, 0.4541f, -0.3894f,
-0.2547f, -0.1742f, -0.3743f,
-0.4660f, 0.2561f, 0.0105f,
-0.3039f, -0.1528f, -0.0177f,
-0.1257f, -0.2521f, -0.1249f,
-0.3035f, 0.2893f, -0.2638f,
-0.1875f, -0.4132f, 0.1115f,
-0.1614f, -0.0265f, -0.0168f,
-0.4602f, 0.2115f, 0.2407f,
0.4318f, -0.4798f, 0.2249f,
-0.3431f, -0.1764f, -0.2437f,
-0.1625f, 0.0632f, 0.3661f,
-0.4569f, 0.3876f, 0.4523f,
0.1702f, 0.0203f, -0.2327f,
0.0343f, -0.2856f, -0.2317f,
-0.1187f, -0.4633f, -0.0339f,
-0.4471f, -0.1404f, -0.2422f,
-0.0364f, -0.4190f, 0.0742f,
-0.1658f, 0.4995f, -0.1877f,
0.4410f, -0.1594f, 0.1974f,
0.4545f, 0.1433f, -0.1176f,
-0.2662f, 0.3605f, 0.0718f,
-0.2377f, -0.4657f, 0.1920f,
0.0765f, 0.1138f, -0.0782f,
-0.1708f, 0.2269f, 0.3228f,
0.0217f, -0.3370f, -0.4036f,
-0.1486f, -0.1766f, 0.0068f,
-0.0790f, 0.3372f, -0.4350f,
-0.3778f, 0.3494f, 0.0870f,
0.1980f, 0.1027f, 0.0786f,
-0.1767f, -0.4938f, -0.2148f,
-0.2309f, 0.0093f, 0.2271f,
0.1256f, -0.2383f, -0.4313f,
-0.1892f, -0.0079f, 0.0251f,
0.3848f, -0.2827f, 0.0438f,
0.2453f, -0.2592f, -0.3903f,
0.1528f, -0.3434f, -0.4979f,
-0.0222f, -0.4357f, -0.2045f,
-0.2130f, -0.0971f, 0.2450f,
0.1181f, 0.2489f, -0.0342f,
-0.0874f, 0.3057f, 0.3057f,
0.1334f, -0.0125f, 0.1538f,
-0.4484f, 0.1361f, 0.3264f,
-0.1403f, -0.2284f, 0.2623f,
-0.1242f, 0.4559f, -0.0728f,
-0.0777f, 0.2216f, 0.4552f,
0.2450f, 0.1107f, 0.3623f,
0.0590f, 0.1181f, -0.3118f,
-0.3984f, -0.2403f, -0.3718f,
0.0982f, 0.2638f, 0.1655f,
0.1222f, 0.2314f, -0.4396f,
0.1741f, -0.1974f, 0.2471f,
-0.0474f, 0.0585f, 0.4167f,
0.2001f, -0.4806f, -0.1857f,
-0.2808f, 0.1091f, -0.2354f,
-0.2932f, 0.2890f, 0.2738f,
0.0681f, -0.3080f, -0.1278f,
0.1418f, 0.3283f, -0.3165f,
0.3555f, 0.2174f, 0.2561f,
0.3552f, 0.0623f, 0.3043f,
-0.4672f, -0.2316f, -0.2563f,
-0.2263f, 0.4926f, 0.1584f,
-0.2332f, 0.4194f, 0.0316f,
0.0292f, 0.3603f, 0.2926f,
-0.4475f, 0.3753f, -0.2076f,
0.1744f, -0.1464f, 0.4112f,
0.0303f, -0.2831f, -0.1951f,
0.2397f, 0.2675f, 0.2553f,
0.2456f, -0.0482f, -0.1793f,
-0.1825f, -0.1072f, 0.3559f,
0.0161f, -0.4856f, 0.2545f,
-0.3087f, -0.3315f, -0.0121f,
0.3901f, 0.3485f, -0.4535f,
0.2397f, -0.2998f, -0.0978f,
-0.3708f, 0.2291f, -0.0504f,
0.3175f, -0.0918f, 0.4388f,
0.4307f, 0.1905f, -0.1318f,
0.2083f, -0.0174f, -0.3932f,
-0.1549f, -0.4517f, -0.3494f,
0.4567f, -0.2907f, 0.3569f,
0.4173f, 0.3155f, 0.2765f,
0.0693f, 0.3277f, -0.0485f,
-0.4369f, -0.0090f, 0.1824f,
-0.3573f, 0.1600f, 0.2682f,
-0.3699f, -0.3592f, 0.3259f,
-0.3249f, 0.3722f, -0.3797f,
0.0814f, 0.3803f, -0.3541f,
0.4629f, 0.2862f, 0.2307f,
0.0519f, 0.4643f, 0.4849f,
-0.4715f, -0.3548f, -0.3707f,
0.2187f, -0.2176f, 0.0862f,
-0.0956f, 0.2309f, -0.1405f,
0.1407f, -0.1498f, -0.4463f,
-0.2987f, 0.2466f, -0.3005f,
0.2861f, 0.4493f, -0.3648f,
-0.3384f, 0.0326f, 0.2135f,
0.2095f, -0.3957f, 0.4588f,
0.3630f, -0.1155f, 0.4994f,
0.2175f, 0.2268f, -0.0590f,
